Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Furnished 30sqm Suites with Kitchenette in Berlin Schoeneberg with Anmeldung,"€1,500",2,3,30 m²,https://wunderflats.com/en/furnished-apartment/g/furnished-30sqm-suites-with-kitchenette-in-berlin-schoeneberg-with-anmeldung/tO3Mm3MLEy2qgv21PEHiL?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],[],"['Kitchenette', 'Berlin', 'Schoeneberg', 'Anmeldung']"
"Cute, quiet loft in Mitte (Berlin)","€1,490",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/cute-quiet-loft-in-mitte-berlin/5c13a6844482010005568fc6?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['quiet'],['loft'],"['Cute', 'Mitte', 'Berlin']"
Perfect suite in Moabit,"€2,200",2,4,66 m²,https://wunderflats.com/en/furnished-apartment/perfect-suite-in-moabit/5eb6c871a4c777000643f39c?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],['suite'],"['Perfect', 'Moabit']"
Furnished studio apartment in Schöneberg,"€1,000",1,2,45.54 m²,https://wunderflats.com/en/furnished-apartment/g/furnished-studio-apartment-in-schoeneberg/xyqfZ_itWzdneAOyhUlDL?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Furnished'],"['studio', 'apartment']",['Schöneberg']
Bright and cozy apartment with balcony in beautiful location and near the park,"€1,495",2,2,53 m²,https://wunderflats.com/en/furnished-apartment/g/bright-and-cozy-apartment-with-balcony-in-beautiful-location-and-near-the-park/B1-rdVrvV?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['cozy', 'beautiful']","['apartment', 'balcony', 'location', 'park']",['Bright']
Fully equipped single studio in the heart of Moabit,€980,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/g/fully-equipped-single-studio-in-the-heart-of-moabit/nbxDbynid?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['single'],"['studio', 'heart']",['Moabit']
Cozy & cute loft in Grunewald!,"€1,200",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-cute-loft-in-grunewald/5d8b865e084e26000639fcb8?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],"['cute', 'loft']","['Cozy', 'Grunewald']"
Beautiful and fantastic studio (Prenzlauer Berg),"€1,800",2,1,67 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-fantastic-studio-prenzlauer-berg/57a45af3ad0e702855053ebf?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['fantastic'],['studio'],"['Beautiful', 'Prenzlauer', 'Berg']"
"This tastefully restored Art Nouveau villa provides exclusive accommodation with conservatory, cosy sitting room with a fire plase and music-room with grand piano","€1,950",4,1,124 m²,https://wunderflats.com/en/furnished-apartment/this-tastefully-restored-art-nouveau-villa-provides-exclusive-accommodation-with-conservatory-cosy-sitting-room-with-a-fire-plase-and-music-room-with-grand-piano/5ea6b3a7c5003100062ed438?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['restored', 'exclusive', 'cosy', 'grand']","['villa', 'accommodation', 'conservatory', 'room', 'fire', 'plase', 'music-room', 'piano']","['Art', 'Nouveau']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (Category S),"€1,240",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-category-s/GXTA7ig-K?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'S']"
Modern and gorgeous studio (Wilmersdorf),"€1,500",2,1,40 m²,https://wunderflats.com/en/furnished-apartment/g/modern-and-gorgeous-studio-wilmersdorf/p1fzTK_lxN?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['gorgeous'],['studio'],"['Modern', 'Wilmersdorf']"
Amazing studio in the heart of town (Berlin),"€1,700",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/amazing-studio-in-the-heart-of-town-berlin/ufwI2OWSW?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['Amazing'],"['studio', 'heart', 'town']",['Berlin']
Fantastic & fashionable flat in popular area,"€1,690",2,2,60 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-fashionable-flat-in-popular-area/595267af0dba07660d8acb7f?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['fashionable', 'popular']","['flat', 'area']",['Fantastic']
"Amazing, pretty studio in Prenzlauer Berg, Berlin","€1,400",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/amazing-pretty-studio-in-prenzlauer-berg-berlin/5dcea9195d7f9c0006c40dcf?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],['studio'],"['Amazing', 'Prenzlauer', 'Berg', 'Berlin']"
Amazing & bright apartment,"€1,350",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/g/amazing-and-bright-apartment/DlH_tNKzTh?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['bright'],['apartment'],['Amazing']
"Lovely & awesome apartment in Charlottenburg, Berlin","€1,150",1,1,23.62 m²,https://wunderflats.com/en/furnished-apartment/g/lovely-and-awesome-apartment-in-charlottenburg-berlin/I9mMcgAYhu?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['awesome'],['apartment'],"['Charlottenburg', 'Berlin']"
"Classy and furnished apartment with a view over the park, at Potsdamer Platz","€2,290",2,1,74 m²,https://wunderflats.com/en/furnished-apartment/classy-and-furnished-apartment-with-a-view-over-the-park-at-potsdamer-platz/60dc49d0c6ff3d000798ee95?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],"['apartment', 'view', 'park']","['Classy', 'Potsdamer', 'Platz']"
"Fully equipped, cozy studio in very good location (Berlin, Charlottenburg)",€960,1,1,26 m²,https://wunderflats.com/en/furnished-apartment/g/fully-equipped-cozy-studio-in-very-good-location-berlin-charlottenburg/SkRQ6PxIG?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['cozy', 'good']","['studio', 'location']","['Berlin', 'Charlottenburg']"
Stylish old building apartment in Wedding at the Schillerpark,"€1,250",2,1,54 m²,https://wunderflats.com/en/furnished-apartment/stylish-old-building-apartment-in-wedding-at-the-schillerpark/5f6b00321a1e460006114f28?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['Stylish', 'old']","['building', 'apartment']",['Schillerpark']
"New & wonderful flat with nice city view, Berlin","€1,500",3,3,74 m²,https://wunderflats.com/en/furnished-apartment/new-and-wonderful-flat-with-nice-city-view-berlin/60c71de384364a0007c4ed5b?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['wonderful', 'flat', 'nice']","['city', 'view']","['New', 'Berlin']"
New & lovely home in vibrant neighbourhood,"€1,800",2,2,39 m²,https://wunderflats.com/en/furnished-apartment/new-and-lovely-home-in-vibrant-neighbourhood/5e79059e2ffc2c000640c95c?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['vibrant'],"['home', 'neighbourhood']",['New']
unique flat located in Wilmersdorf,"€1,480",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/unique-flat-located-in-wilmersdorf/57bc1204538bf13590f10cf7?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['unique', 'flat']",[],['Wilmersdorf']
"Perfect, fully furnished studio for a medium or long stay in the beautiful district of Charlottenburg.",€993,1,1,27 m²,https://wunderflats.com/en/furnished-apartment/g/perfect-fully-furnished-studio-for-a-medium-or-long-stay-in-the-beautiful-district-of-charlottenburg/HJPxBdxIG?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['furnished', 'long', 'beautiful']","['studio', 'medium', 'stay', 'district']","['Perfect', 'Charlottenburg']"
Brand new chic Boutique Apartment in Landmark tower,"€2,450",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/brand-new-chic-boutique-apartment-in-landmark-tower/5d430bef325d0d000707e9e3?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['new', 'chic']",['tower'],"['Brand', 'Boutique', 'Apartment', 'Landmark']"
"Cosy apartment in most wanted Prenzlauer berg, next to Kollwitzkiez","€1,280",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/cosy-apartment-in-most-wanted-prenzlauer-berg-next-to-kollwitzkiez/60e058e793406b000783d923?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['wanted', 'next']","['apartment', 'berg']","['Cosy', 'Prenzlauer']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (# 208 Category S),"€1,230",1,1,28 m²,https://wunderflats.com/en/furnished-apartment/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-208-category-s/5d78d3e04471bc0006e53d0c?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'S']"
"Modern, bright and quiet flat ""Nantucket"" with balcony","€1,900",3,2,75 m²,https://wunderflats.com/en/furnished-apartment/modern-bright-and-quiet-flat-nantucket-with-balcony/5fa9411d74e398000651bddc?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['quiet', 'flat']","['bright', 'balcony']","['Modern', 'Nantucket']"
"Gorgeous, charming flat in Mitte","€1,500",1,1,41 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-charming-flat-in-mitte/5c62ea8738527a000973bb82?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['flat'],[],"['Gorgeous', 'Mitte']"
Living between Ku'Damm and Lietzensee - Furnished apartment in Windscheidpalais,"€1,590",2,1,42 m²,https://wunderflats.com/en/furnished-apartment/living-between-kudamm-and-lietzensee-furnished-apartment-in-windscheidpalais/5a09bb2f84831e3dd6ac0888?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],['apartment'],"[""Ku'Damm"", 'Lietzensee', 'Windscheidpalais']"
"Nice, gorgeous studio in Weißensee, Berlin","€2,400",3,2,98 m²,https://wunderflats.com/en/furnished-apartment/nice-gorgeous-studio-in-weissensee-berlin/5d92fb4cec8fd70006a621f8?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,['gorgeous'],['studio'],"['Nice', 'Weißensee', 'Berlin']"
"Modern serviced flat with balcony and gym in the most popular location, directly on Kurfürstendamm","€1,200",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/g/modern-serviced-flat-with-balcony-and-gym-in-the-most-popular-location-directly-on-kurfuerstendamm/VDax_ddcLu?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['flat', 'popular']","['balcony', 'gym', 'location']","['Modern', 'Kurfürstendamm']"
Great home in Charlottenburg (Berlin),€899,1,1,17 m²,https://wunderflats.com/en/furnished-apartment/great-home-in-charlottenburg-berlin/60b650cf6e971c0007fc5f5f?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],['home'],"['Great', 'Charlottenburg', 'Berlin']"
"Stylish, perfectly cut and cosy 2-rooms-flat",€990,2,2,53 m²,https://wunderflats.com/en/furnished-apartment/stylish-perfectly-cut-and-cosy-2-rooms-flat/5f973f5dfcddaf0006ae3dfa?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['Stylish', 'cosy', '2-rooms-flat']",[],[]
Amazing & modern suite with nice city view,"€1,900",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-modern-suite-with-nice-city-view/6016c336be2cd10007f81f8a?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,"['modern', 'nice']","['suite', 'city', 'view']",['Amazing']
Luxury suite over 2 floors,"€2,200",2,3,70 m²,https://wunderflats.com/en/furnished-apartment/g/luxury-suite-over-2-floors/4UOcFXb4V?dataLayerKey=dyhBn-AYSPPrnzVPiI-bw,[],['suite'],['Luxury']
Great & pretty home in Schöneberg,"€1,770",2,1,54.85 m²,https://wunderflats.com/en/furnished-apartment/great-and-pretty-home-in-schoeneberg/5eb291ca5c3ac40006b32bbb?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['home'],"['Great', 'Schöneberg']"
Living between Ku'Damm and Lietzensee - Furnished apartment in Windscheidpalais,"€1,590",2,1,42 m²,https://wunderflats.com/en/furnished-apartment/living-between-kudamm-and-lietzensee-furnished-apartment-in-windscheidpalais/5a0a020d84831e3dd6ac09b4?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['apartment'],"[""Ku'Damm"", 'Lietzensee', 'Windscheidpalais']"
"Perfect, wonderful suite in Schöneberg","€1,200",1,2,45 m²,https://wunderflats.com/en/furnished-apartment/perfect-wonderful-suite-in-schoeneberg/5fdb352b1c796600061412c8?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['wonderful'],['suite'],"['Perfect', 'Schöneberg']"
(New building) Modern 1.5 room apartment in Berlin-Tempelhof,"€1,350",2,1,35 m²,https://wunderflats.com/en/furnished-apartment/new-building-modern-15-room-apartment-in-berlin-tempelhof/5ff56e2c0ec32b0007e47f90?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],"['building', 'room', 'apartment']","['New', 'Modern', 'Berlin-Tempelhof']"
"Modern, amazing flat in Prenzlauer Berg","€1,800",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/modern-amazing-flat-in-prenzlauer-berg/606f1219620ad50007de8aea?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['flat'],[],"['Modern', 'Prenzlauer', 'Berg']"
"Fully Furnished 2 Rooms apartment, Berlin Mitte Wedding","€1,550",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/fully-furnished-2-rooms-apartment-berlin-mitte-wedding/5da50e214b71b40007a784f9?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['apartment'],"['Furnished', 'Rooms', 'Berlin', 'Mitte', 'Wedding']"
Pretty studio in Friedrichshain,"€1,250",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/pretty-studio-in-friedrichshain/60a5fb1899860a000701dcc2?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['studio'],['Friedrichshain']
Neat apartment near Potsdamer Platz,"€1,300",2,1,42 m²,https://wunderflats.com/en/furnished-apartment/neat-apartment-near-potsdamer-platz/5ad61f117029b88177b52947?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['apartment'],"['Neat', 'Potsdamer', 'Platz']"
Bright top floor apartment overlooking park in the heart of Kreuzberg,"€2,200",3,2,95 m²,https://wunderflats.com/en/furnished-apartment/bright-top-floor-apartment-overlooking-park-in-the-heart-of-kreuzberg/5f4aaa4bf0e6550006b5faa8?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['top'],"['floor', 'apartment', 'park', 'heart']","['Bright', 'Kreuzberg']"
Neat and wonderful home in Teltow,"€1,290",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/neat-and-wonderful-home-in-teltow/5c2cf61760b79f0005d86b5c?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['wonderful'],['home'],"['Neat', 'Teltow']"
Charming and spacious suite in Mitte,"€1,398",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/charming-and-spacious-suite-in-mitte/5f38d29e6e3106000697b956?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['spacious'],['suite'],['Mitte']
charming & fully furnished design apartment with balcony located in Wedding by BENSIMON,"€2,750",3,4,80 m²,https://wunderflats.com/en/furnished-apartment/charming-and-fully-furnished-design-apartment-with-balcony-located-in-wedding-by-bensimon/5fb11b15dab97d00066e13bd?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['furnished'],"['design', 'apartment', 'balcony']","['Wedding', 'BENSIMON']"
Fantastic new apartment in best location - first time use with balcony,"€2,600",2,3,68 m²,https://wunderflats.com/en/furnished-apartment/fantastic-new-apartment-in-best-location-first-time-use-with-balcony/5eb12f14e3b375000693e497?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,"['Fantastic', 'new', 'first']","['apartment', 'location', 'time', 'use', 'balcony']",[]
Great & cute home in Mitte,"€2,915",2,1,67 m²,https://wunderflats.com/en/furnished-apartment/great-and-cute-home-in-mitte/5f23ec4467ac6a0006ff25f8?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['cute'],['home'],"['Great', 'Mitte']"
Cosy apartment in suburban villa in Birkenwerder,€980,1,1,37 m²,https://wunderflats.com/en/furnished-apartment/cosy-apartment-in-suburban-villa-in-birkenwerder/5e43bfba6a83e60006f1e76a?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['suburban'],"['apartment', 'villa']","['Cosy', 'Birkenwerder']"
"Gorgeous, charming suite (Gleispark)","€1,400",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/g/gorgeous-charming-suite-gleispark/Kv4taYr1iy?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['suite'],"['Gorgeous', 'Gleispark']"
Designappartement in the heart of Charlottenburg,"€1,500",2,1,35 m²,https://wunderflats.com/en/furnished-apartment/designappartement-in-the-heart-of-charlottenburg/5c24a978ab1cbd00056d220b?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],"['Designappartement', 'heart']",['Charlottenburg']
Modern apartment in Charlottenburg,"€2,100",3,1,110 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-in-charlottenburg/60439e1ba1ec110007bb730f?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['Modern'],['apartment'],['Charlottenburg']
Great and awesome suite in Wedding,"€1,400",1,1,39.86 m²,https://wunderflats.com/en/furnished-apartment/great-and-awesome-suite-in-wedding/5ea02ef4ddd7ba000633d4a3?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['awesome'],['suite'],['Great']
"Bright and tasteful one-bedroom centrally located in the heart of Berlin (Moabiter Werder, near Hauptbahnhof)","€1,580",2,2,62 m²,https://wunderflats.com/en/furnished-apartment/bright-and-tasteful-one-bedroom-centrally-located-in-the-heart-of-berlin-moabiter-werder-near-hauptbahnhof/600958fd01e37a0007483ec5?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['tasteful'],"['one-bedroom', 'heart']","['Bright', 'Berlin', 'Moabiter', 'Werder', 'Hauptbahnhof']"
"Beautiful, furnished studio incl. WLAN in Charlottenburg",€960,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-furnished-studio-incl-wlan-in-charlottenburg/DCfNPdiUEz?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],"['studio', 'incl']","['Beautiful', 'WLAN', 'Charlottenburg']"
Smart living in green surroundings - within walking distance to the Technology Park Adlershof,"€1,400",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/smart-living-in-green-surroundings-within-walking-distance-to-the-technology-park-adlershof/5fc4f7d0c897020006cb69a8?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['green'],"['living', 'distance']","['Smart', 'Technology', 'Park', 'Adlershof']"
"Cozy, bright flat in Pankow",€925,1,1,36 m²,https://wunderflats.com/en/furnished-apartment/cozy-bright-flat-in-pankow/5762c3187e292ad717804fe5?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['flat'],[],"['Cozy', 'Pankow']"
Pretty and cozy apartment,"€1,290",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/pretty-and-cozy-apartment/5f062330322347000773af5a?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['cozy'],['apartment'],['Pretty']
Spacious family suite in Kreuzberg,"€6,895",6,3,180 m²,https://wunderflats.com/en/furnished-apartment/spacious-family-suite-in-kreuzberg/5d4acdf041ae4000077132f8?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['Spacious'],"['family', 'suite']",['Kreuzberg']
"Lovely, nice suite near school, Berlin","€1,450",2,2,60 m²,https://wunderflats.com/en/furnished-apartment/lovely-nice-suite-near-school-berlin/6013c6121931290007acf659?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['nice'],"['suite', 'school']",['Berlin']
Quiet suite in Weißensee (Berlin),"€1,499",2,2,40 m²,https://wunderflats.com/en/furnished-apartment/quiet-suite-in-weissensee-berlin/600068527d22970007776d84?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['Quiet'],['suite'],"['Weißensee', 'Berlin']"
"Fantastic, charming suite located in Wilmersdorf","€1,500",1,1,33 m²,https://wunderflats.com/en/furnished-apartment/g/fantastic-charming-suite-located-in-wilmersdorf/U-KtMoxk7W?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,[],['suite'],"['Fantastic', 'Wilmersdorf']"
Awesome studio (Prenzlauer Berg),"€1,490",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/awesome-studio-prenzlauer-berg/5c1922ae51c364000609c725?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['Awesome'],['studio'],"['Prenzlauer', 'Berg']"
Design apartment in Kreuzberg for temporary rent,"€1,630",2,1,45 m²,https://wunderflats.com/en/furnished-apartment/design-apartment-in-kreuzberg-for-temporary-rent/60d1ddf9864c700008f3df82?dataLayerKey=cIlfF2b5ODwm_pPAmdWgS,['temporary'],"['apartment', 'rent']","['Design', 'Kreuzberg']"
Wonderful and perfect flat in Tempelhof,"€1,637",2,1,48 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-and-perfect-flat-in-tempelhof/oHvFYSYP_S?dataLayerKey=7qVWtmNYiPNLGd3-1b6He,"['Wonderful', 'perfect', 'flat']",[],['Tempelhof']
Gorgeous home in Prenzlauer Berg,"€2,450",3,1,94 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-home-in-prenzlauer-berg/60ce52fd940ccb000968d2ee?dataLayerKey=7qVWtmNYiPNLGd3-1b6He,['Gorgeous'],['home'],"['Prenzlauer', 'Berg']"
Furnished 25sqm Studios with Kitchenette in Berlin Schöneberg with Anmeldung,"€1,250",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/g/furnished-25sqm-studios-with-kitchenette-in-berlin-schoeneberg-with-anmeldung/OQ8i9vueRiMLPcMxglAWF?dataLayerKey=7qVWtmNYiPNLGd3-1b6He,[],[],"['Kitchenette', 'Berlin', 'Schöneberg', 'Anmeldung']"
Gorgeous business-suite in Lichtenberg,€799,1,1,21 m²,https://wunderflats.com/en/furnished-apartment/g/gorgeous-business-suite-in-lichtenberg/S1R_fh4NG?dataLayerKey=7qVWtmNYiPNLGd3-1b6He,"['Gorgeous', 'business-suite']",[],['Lichtenberg']
